Sample;Density;ModulusOfElasticity
AK Steel 17-7 PH Precipitation Hardening Stainless Steel, Condition TH 1050;7.65;200.0
Carpenter Gall-Tough PLUS™ Stainless, Annealed at 1150°C;7.6;185.0
Carpenter Gall-Tough Stainless;7.85;171.0
Carpenter Custom 455 Stainless Steel, Annealed, 25 mm Bar;7.76;200.0
Carpenter 20Cb-3 Stainless Steel, Bar, Annealed at 1750°F (955°C) then Water Quenched;8.08;193.0
Carpenter Custom 630 (17-Cr-4Ni) Precipitation Hardening Stainless Steel, Annealed;7.75;197.0
Carpenter Custom 630 (17-Cr-4Ni) Precipitation Hardening Stainless Steel, Condition H 1150 (Heated 621°C);7.82;197.0
Carpenter Pyrowear 675 Stainless Steel, Tempered 316°C, Longitudinal Properties;7.76;204.0
Carpenter 20-Mo6 Stainless Steel, Plate;8.13;186.0
Carlson 904L Austenitic Stainless Steel;7.97;196.0
Carlson 926 Mo Austenitic Stainless Steel;8.03;192.0
Carlson Nitronic 50 Austenitic Stainless Steel;7.89;193.0
Carlson Nitronic 60 Austenitic Stainless Steel;7.62;181.0
Carlson 2205 (UNS S31803) Duplex Stainless Steel;7.82;190.0
Crucible Steel CSM 420 XL Stainless Steel;7.64;200.0
Crucible Steel 303 Plus Chromium-Nickel Steel;7.92;193.0
Crucible Steel 304L Chromium-Nickel Steel;7.94;193.0
Crucible Steel 316L Chromium-Nickel Steel;7.91;193.0
Crucible Steel 347 Chromium-Nickel Steel;8.02;193.0
Crucible Steel 20 Cb Plus Stainless Steel;8.05;193.0
Crucible Steel 430 Chromium Steel;7.72;200.0
Crucible Steel 431 Chromium Steel;7.77;200.0
Crucible Steel 15-5 Precipitation Hardening Stainless Steel;7.8;197.0
Datum Alloys 304TA Stainless Steel Thin Foil;7.93;197.0
EOS PH1 Precipitation Hardening Stainless Steel Sintered on EOSINT M 270;7.8;180.0
Special Metals INCOLOY 25-6MO Super Austenitic Stainless Steel (UNS N08926);8.03;188.0
Special Metals INCOLOY 27-7MO Super-Austenitic Stainless Steel;8.02;191.0
Industeel CLC 18.10 Nb Niobium Stabilized 18Cr-10Ni Austenitic Stainless Steel;7.95;200.0
Industeel URANUS 47N+ 25 Cr Super Duplex Stainless Steel with PREN = 40;7.82;200.0
Industeel VIRGO 15.5PH 15Cr-5Ni-3Cu Precipitation Hardening Martensitic Stainless Steel (480°C (900°F) - 1 hour - air cooling);7.8;137.0
Industeel URANUS 65 310 L Modified Grade - Low C and Si for Nitric Acid Service;7.9;195.0
Industeel URANUS B6 Multipurpose Austenitic Stainless Steel with PREN = 34;8.05;200.0
Industeel URANUS B26 6 Mo High Performance Super-Austenitic Stainless Steel with PREN = 43;8.1;195.0
Industeel URANUS B66 High Strength Super-Austenitic Stainless Steel with PREN = 54;8.2;195.0
ATI Allegheny Ludlum Stainless Steel Type 201, 40% Cold Work (UNS S20100);7.86;183.0
ATI Allegheny Ludlum Stainless Steel Type 301, 1/4 Hard (UNS S30100);8.03;195.0
ATI Allegheny Ludlum Stainless Steel Type 301, 1/2 Hard (UNS S30100);8.03;185.5
ATI Allegheny Ludlum Stainless Steel Type 301, 3/4 Hard (UNS S30100);8.03;184.0
ATI Allegheny Ludlum Stainless Steel Type 301, Full Hard (UNS S30100);8.03;185.0
ATI Allegheny Ludlum Stainless Steel Type 347 (UNS S34700);7.96;193.0
ATI Allegheny Ludlum Stainless Steel AL 904L™ Alloy (UNS N08904);7.9;190.0
ATI Allegheny Ludlum Altemp A286 Iron-Base Superalloy, UNS S66286;7.92;201.0
Markforged 3D Printed 17-4 PH Stainless Steel, H900 Heat Treatment;7.5;170.0
Markforged 3D Printed 17-4 PH Stainless Steel, As-Sintered;7.5;140.0
HP Alloys Nitronic 60 Austenitic Stainless, Annealed;7.62;179.0
Outokumpu 4948 High Temperature Austenitic Stainless Steel;7.93;196.0
Outokumpu 4878 High Temperature Austenitic Stainless Steel;7.9;196.0
Outokumpu 4833 High Temperature Austenitic Stainless Steel;7.8;196.0
PSM Industries Pacific Sintered Metals SS-316-RH 316L Stainless Steel Powdered Metal;6.6;79.3
PSM Industries Pacific Sintered Metals SS-316-RD 316L Stainless Steel Powdered Metal (MPIF SS-316-40);6.6;148.0
PSM Industries Pacific Sintered Metals SS-316-SH 316L Stainless Steel Powdered Metal;6.8;95.1
PSM Industries PolyAlloys MIM-17-4PH sintered Stainless Steel;7.5;193.0
Pyramid Stainless Steel AISI 304/316L, STAINLESS STEEL SHEET NO.4 FINISH;7.94;201.0
Sandvik SRK66 Precision Wire;8.0;185.0
Sandvik Bioline 1RK91 Precision Wire;7.9;187.5
Sandvik Nanoflex Precision Wire;7.9;185.0
Sandvik SanRig 80 Precision Wire;7.87;195.0
Sandvik 9RU10 Spring Wire;7.9;192.5
Sandvik SAF 2205 Spring Wire;7.85;202.5
Sandvik 5R60 Wire;8.0;180.0
Sandvik Bioline 1RK91 Strip steel;7.7;192.5
Sandvik Bioline SAF 2205 Wire;7.8;202.5
Sandvik Bioline SAF 2205 SH Wire;7.8;204.0
Sandvik SAF 2507 Strip steel;7.8;195.0
Sandvik Springflex Strip steel;7.8;205.0
Schmolz + Bickenbach UGIMA 303 HD Stainless Steel Bar;7.89;197.0
Schmolz + Bickenbach 416 Stainless Steel Bar;7.64;205.0
Schmolz + Bickenbach 430FR Stainless Steel Bar;7.61;205.0
Latrobe 440™ N-DUR High Quality Martensitic Stainless Steel;7.67;200.0
Latrobe Lescalloy 13-8 Mo VIM-VAR Precipitation Hardening Stainless Steel;7.72;195.0
Latrobe LSS™ 17-4 Precipitation Hardening Stainless Steel (ASTM Type 360);7.8;197.0
Latrobe LSS™ 440C Stainless Steel Knife (ASTM A276);7.62;200.0
American Utility Metals Cromgard Stainless Steel;7.66;200.0
3D Systems LaserForm 316L (B), AS BUILT Stainless Steel Material;7.95;17.25
3D Systems LaserForm 316L (B), AFTER STRESS RELIEF Stainless Steel Material;7.95;18.0
3D Systems LaserForm AlSi12 (B), AS-BUILT Aluminum Alloy Material;2.68;6.75
3D Systems LaserForm AlSi12 (B), STRESS RELIEF Aluminum Alloy Material;2.68;6.5
TBA ECP 16E Stainless Steel Fiber Masterbatch;1.35;0.236
3D Systems LaserForm™ A6 Tool Steel Powder for Rapid Tooling and Rapid Manufacturing;7.8;138.0
Assab Steels ASSAB XW-5 Cold Work Steel;7.67;194.0
Carpenter Micro-Melt 9 Wear Treated Tool Steel;7.45;200.0
Carpenter Vega Alloy Tool Steel (Air-Tough) (AISI A6);7.94;200.0
International Mold Steel DC53 General-Purpose Cold Work Die and Mold Steel;7.76;150.0
3D Systems LaserForm 316L (A) AFTER STRESS RELIEF Stainless Steel Material;8.0;18.0
3D Systems LaserForm Maraging Steel (B), AS BUILT;8.06;15.25
3D Systems LaserForm Maraging Steel (B), AFTER STRESS RELIEF;8.06;15.75
3D Systems LaserForm Maraging Steel (B), AFTER AGING;8.06;17.5
3D Systems LaserForm Ni625 (B), AS-BUILT Nickel Super Alloy;8.44;19.5
3D Systems LaserForm Ni625 (B), AFTER STRESS RELIEF Nickel Super Alloy;8.44;20.25
3D Systems LaserForm Ni625 (B), AFTER LOW SOLUTION ANNEAL Nickel Super Alloy;8.44;13.05
Aluminum, Al;2.7;68.0
Aluminum Alloys, General;2.7;70.0
Aluminum 1050-H14;2.7;69.0
Aluminum 1060-H12;2.7;68.9
Aluminum 1100-H112;2.71;69.0
Aluminum 1100-H12;2.71;68.9
Aluminum 1180-H18;2.7;67.0
Aluminum 1199-H18;2.7;62.0
Aluminum 2007-T3;2.82;73.0
Aluminum 2011-T3;2.83;70.3
Aluminum 2011-T4;2.82;70.0
Aluminum 2011-T6;2.83;70.0
Alclad Aluminum 2014-O;2.8;72.4
Aluminum 2014-O;2.8;72.75
Aluminum 2017-O;2.79;72.4
Aluminum 2018-T61;2.82;74.5
Alclad Aluminum 2024-O;2.78;73.1
Alclad Aluminum 2024-T42;2.77;72.4
Aluminum 2024-T6;2.78;72.4
Aluminum 2025-T6;2.81;71.7
Aluminum 2030-T3;2.81;73.0
Aluminum 2036-T4;2.75;71.0
Aluminum 2048-T851 Plate;2.75;73.5
Aluminum 2090-O;2.59;76.0
Aluminum 2091-T8x;2.58;75.0
Aluminum 2124-O;2.78;73.0
Aluminum 2124-T851 (Extended High Temperature Data);2.78;72.55
Aluminum 2218-T61;2.81;74.4
Aluminum 2218-T72;2.81;74.5
Alclad Aluminum 2219-O;2.84;73.8
Aluminum 2219-O;2.84;73.1
Aluminum 2319;2.84;72.0
Aluminum 2618-T61;2.76;74.5
Alclad Aluminum 3003-H112;2.73;70.0
Alclad Aluminum 3003-H12;2.73;68.9
Aluminum 3003-H19 Foil;2.73;69.0
Alclad Aluminum 3004-H112;2.72;70.0
Alclad Aluminum 3004-H32;2.72;68.9
Aluminum 3004-H19;2.72;69.0
3013-O Aluminum;2.74;68.9
Aluminum 3102-H112;2.71;71.0
Aluminum 4019, AE Condition;2.74;90.0
Aluminum 4032-T6;2.68;78.6
Aluminum 5024-H116;2.65;72.0
Aluminum 5042-H19;2.67;70.0
Aluminum 5050-H32;2.69;68.9
Aluminum 5052-H19 Foil;2.68;70.0
Aluminum 5052-H32;2.68;70.3
Aluminum 5056-H18;2.64;71.0
Aluminum 5056-H191 Foil;2.64;72.0
Aluminum 5082-H19;2.65;70.0
Aluminum 5083-H112;2.66;70.3
Aluminum 5083-O;2.66;70.65
Aluminum 5086-H112;2.66;71.0
Aluminum 5182-H19;2.65;69.6
Aluminum 5252-H28;2.67;68.9
Aluminum 5252-O;2.67;69.0
Aluminum 5356;2.64;70.0
Aluminum 5454-H112;2.69;70.3
Aluminum 5652-H32;2.67;70.3
Aluminum 5657-O;2.69;69.0
Aluminum 7001-O;2.84;71.0
Aluminum 7005-O;2.78;72.0
Aluminum 7016-T5;2.78;71.0
Aluminum 7029-T5;2.77;72.0
Aluminum 7034-T6;2.89;71.0
Aluminum 7039-O;2.74;69.6
Aluminum 7049-T352;2.84;71.7
Aluminum 7050-T73652 forgings;2.83;71.7
Aluminum 7072-H113;2.72;68.0
Aluminum 7076-T61;2.84;67.0
Aluminum 7175-T66;2.8;72.0
Aluminum 7175-T74;2.8;71.7
Alclad Aluminum 7475-T61;2.81;70.3
Aluminum 8001-H18;2.75;70.0
Aluminum 8009, AE Condition;2.92;90.0
Aluminum 8090-T3;2.54;77.0
1201 Alloy 20 mm plate;2.85;72.0
1460 Alloy, 20 mm plate;2.59;80.0
Aluminum-Scandium Alloy 01570;2.65;71.0
Aluminum 201.0-T4, Sand Cast;2.8;71.0
Aluminum A206.0-T7 Casting Alloy;2.8;70.0
Aluminum 208.0-F, Sand Cast;2.79;71.0
Aluminum 222.0-O, Sand Cast;2.95;71.0
Aluminum 242.0-O, Sand Cast;2.82;71.0
Aluminum 242.0-T571, Permanent Mold Cast;2.81;71.0
Aluminum 295.0-T4, Sand Cast;2.81;70.0
Aluminum 296.0-T4, Cast;2.8;69.0
Aluminum 319.0-F, Permanent Mold Cast;2.79;74.0
Aluminum 328.0-F, Sand Cast;2.7;73.0
Aluminum 332.0-T5, Permanent Mold Cast;2.76;73.0
Aluminum 333.0-F, Permanent Mold Cast;2.77;73.0
Aluminum 336.0-T551, Permanent Mold Cast;2.72;73.0
Aluminum 354.0-T61, Permanent Mold Cast;2.71;73.1
Aluminum 355.0-T71, Permanent Mold Cast;2.71;70.3
Aluminum C355.0-T61, Permanent Mold Cast;2.71;69.6
Aluminum 356.0-T71, Permanent Mold Cast;2.68;72.4
Aluminum A356.0-T61, Permanent Mold Cast;2.67;72.4
Aluminum A360.0-F Die Casting Alloy;2.68;71.0
Aluminum A380.0-F Die Casting Alloy;2.76;71.0
Aluminum A380.0-T5, Casting Alloy;2.74;71.0
Aluminum A390.0-T6, Permanent Mold Cast;2.72;81.2
Aluminum B390.0-F Die Casting Alloy;2.71;81.4
Aluminum A443.0;2.69;71.0
Aluminum 518.0-F Die Casting Alloy;2.57;69.0
Aluminum 520.0-T4, Sand Cast;2.57;66.0
Aluminum A535.0-F or Aluminum 535.0-T5, Cast;2.62;71.0
Aluminum 707.0-F Casting Alloy;2.77;71.0
Aluminum 850.0-T5, Permanent Mold Cast;2.88;71.0
Aluminum 851.0-T5, Permanent Mold Cast;2.83;71.0
A13 Aluminum-28 v/o Thornel-50 Composite;2.4;145.0
ERG Aerospace Duocel Aluminum Metal Foam;0.2;0.07
Alcoa Deltalloy 4032-T651 Aluminum;2.68;79.0
Alcoa 2090-T83 Aluminum;2.59;79.3
Alcoa QC-10 Aluminum Mold Alloy;2.85;70.0
ALIMEX ACP 5080R Aluminum Cast Material;2.66;70.0
ALIMEX PLANAL 7075 T651/T652 Aluminum Alloy;2.77;70.0
Alpase M-1™ Aluminum Mold Plate;2.8;74.5
Alpase M-5™ Aluminum Mold Plate;2.73;72.75
Materion AMC225XE T4 Aluminum/Silicon Carbide MMC Forged Plate;2.88;115.0
Materion SupremEX 217XG Aluminum - Silicon Carbide Metal Matrix Composite, T6 CWQ Billet;2.86;98.0
Materion SupremEX 640XA Aluminum - Silicon Carbide Metal Matrix Composite, T6 CWQ Billet;2.9;140.0
Materion AMC4632 Aluminum Silicon Alloy, T6;2.7;94.0
CMT CFR-AMC Fully Reinforced Aluminum Matrix Composite;3.4;185.0
Constellium ALPLAN 7075 High-Strength Rolled Precision Aluminum Plate, Milled Both Sides;2.81;72.0
Constellium Alumold 350 Aluminum;2.84;72.4
Constellium Alumold 400 Aluminum;2.79;72.5
Constellium Alumold 500 Rolled Aluminum;2.82;72.5
Constellium Certal Thick Aluminum Plate;2.76;72.0
Constellium Certal SPC Aluminum;2.76;72.5
Constellium DOKIMA Rolled Plate Aluminum;2.69;68.3
Constellium Formall 545 Aluminum Alloy;2.7;71.0
Constellium Fortal Aluminum Alloy;2.81;72.5
Cymat A35620SC 020SS Stabilized Aluminum Foam;0.2;0.46
Cymat A35620SC 030SS Stabilized Aluminum Foam;0.3;1.1
Cymat A35620SC 040SS Stabilized Aluminum Foam;0.4;1.35
DWA 6092/SiC/17.5p-T6 Aluminum SiC Metal-Matrix-Composite (Al MMC), Extruded;2.8;102.5
DWA 6092/SiC/17.5p-T6 Aluminum SiC Metal-Matrix-Composite (Al MMC), Sheet;2.8;100.0
DWA 6092/SiC/25p-T6 Aluminum SiC Metal-Matrix-Composite (Al MMC), Extruded;2.84;118.5
DWA 6092/SiC/40p-T6 Aluminum SiC Metal-Matrix-Composite (Al MMC);2.92;138.0
DWA 2009/SiC/15p-T4 Aluminum SiC Metal-Matrix-Composite (Al MMC);2.84;96.0
DWA 2009/SiC/25p-T4 Aluminum SiC Metal-Matrix-Composite (Al MMC);2.89;117.0
Goodfellow Aluminum-Copper/SiC Metal Matrix Composite;2.85;100.0
Goodfellow Aluminum-Lithium/SiC Metal Matrix Composite;2.62;100.0
Goodfellow Dural Aluminum /Copper/Magnesium Alloy;2.8;73.0
Kaiser 4026 T651 Rod & Bar;2.76;77.0
Erbslöh Aluminium DISPAL S220 Aluminum Alloy, AlSi35, Condition O;2.54;80.0
Erbslöh Aluminium DISPAL S220 Aluminum Alloy, AlSi35, Condition F;2.54;85.0
Erbslöh Aluminium DISPAL S225 Aluminum Alloy, AlSi35Fe2Ni, Condition F;2.58;86.0
Erbslöh Aluminium DISPAL S226 Aluminum Alloy, AlSi30CuMg, Condition T6;2.59;88.0
Erbslöh Aluminium DISPAL S232 Aluminum Alloy, AlSi17Fe4Cu3Mg, Condition T6x;2.79;88.0
Erbslöh Aluminium DISPAL S236 Aluminum Alloy, Condition F;2.83;100.0
Erbslöh Aluminium DISPAL S236 Aluminum Alloy, Condition T6(SB);2.83;105.0
Erbslöh Aluminium DISPAL S236 Aluminum Alloy, Condition T6x;2.83;103.0
Erbslöh Aluminium DISPAL S250 Aluminum Alloy, AlSi20Fe5Ni2, Condition F;2.78;95.0
Erbslöh Aluminium DISPAL S256 Aluminum Alloy, Condition F;2.79;107.0
Erbslöh Aluminium DISPAL S260 Aluminum Alloy, AlSi25Cu4Mg, Condition F;2.66;85.0
Erbslöh Aluminium DISPAL S260 Aluminum Alloy, AlSi25Cu4Mg, Condition T6;2.66;95.0
Erbslöh Aluminium DISPAL S260 Aluminum Alloy, AlSi25Cu4Mg, Condition T7;2.66;92.0
Erbslöh Aluminium DISPAL S263 Aluminum Alloy, AlSi25Cu3Fe3Ni3MgCoTi, Condition F;2.76;92.0
Erbslöh Aluminium DISPAL S263 Aluminum Alloy, AlSi25Cu3Fe3Ni3MgCoTi, Condition T4;2.76;96.0
Erbslöh Aluminium DISPAL S270 Aluminum Alloy, AlSi25Fe4Ni3CuMgMnCrTi, Condition F;2.79;90.0
Erbslöh Aluminium DISPAL S270 Aluminum Alloy, AlSi25Fe4Ni3CuMgMnCrTi, Condition T4;2.79;97.0
Erbslöh Aluminium DISPAL S270 Aluminum Alloy, AlSi25Fe4Ni3CuMgMnCrTi, Condition T6;2.79;99.5
Erbslöh Aluminium DISPAL S541 Aluminum Alloy, AlMg6Mn4SiTiZr, Condition F;2.72;77.0
Erbslöh Aluminium DISPAL S542 Aluminum Alloy, AlMg6Mn4SiTiZrCo, Condition F;2.73;77.0
Erbslöh Aluminium DISPAL S690 Aluminum Alloy, AlCu4MgAg, Condition T4;2.8;70.0
Erbslöh Aluminium DISPAL S690 Aluminum Alloy, AlCu4MgAg, Condition T6;2.8;72.0
Erbslöh Aluminium DISPAL S691 Aluminum Alloy, AlCu5Ti;2.8;75.0
Erbslöh Aluminium DISPAL S693 Aluminum Alloy, AlCu5Ti, Condition T4;2.82;72.0
RSP Technology RSA-443 AE Aluminum Super Alloy;2.54;102.0
RSP Technology RSA-905 AE Aluminum Super Alloy;2.95;90.0
RSP Technology RSA-8009 AE Aluminum Super Alloy;2.94;90.0
RSP Technology RSA-4019 AE Aluminum Super Alloy;2.75;90.0
RSP Technology RSA-461 T6 Aluminum Super Alloy;2.76;90.0
RSP Technology RSA-462 T6 Aluminum Super Alloy;2.63;90.0
RSP Technology RSA-431 T6 Aluminum Super Alloy;2.6;95.0
RSP Technology RSA-612 T6 Aluminum Super Alloy;2.55;85.0
RSP Technology RSA-473 AH Aluminum Super Alloy;2.43;125.0
RSP Technology RSA-483 AH Aluminum Super Alloy;2.4;132.0
RSP Technology RSA-601 T6 Aluminum Super Alloy;2.75;72.0
RSP Technology RSA-453 AH Aluminum Super Alloy;2.5;110.0
RSP Technology RSA-463 AH Aluminum Super Alloy;2.47;117.0
RSP Technology RSA-441 T6 Aluminum Super Alloy;2.53;102.0
RSP Technology RSA-444 T6 Aluminum Super Alloy;2.63;96.0
Vista Metals Duramold-2™ Cast Aluminum Mold Plate;2.8;73.8
Vista Metals Duramold-5™ Cast Aluminum Mold Plate;2.66;69.6
3D Systems LaserForm AlSi7Mg0.6 (A), AS-BUILT Aluminum Alloy Material;2.67;7.1
3D Systems LaserForm AlSi7Mg0.6 (A), AFTER STRESS RELIEF Aluminum Alloy Material;2.67;7.55
3D Systems LaserForm AlSi7Mg0.6 (A), DIRECT AGING Aluminum Alloy Material;2.67;7.35
3D Systems LaserForm AlSi10Mg (A), AS-BUILT Aluminum Alloy Material;2.68;7.1
3D Systems LaserForm AlSi10Mg (A), AFTER STRESS RELIEF Aluminum Alloy Material;2.68;7.3
Beryllium Copper, UNS C17000;8.26;115.0
Beryllium Copper, UNS C17200, TD01 Temper Strip;8.25;127.5
Copper, Mill-Hardened UNS C17410, 1/2 HT;8.8;138.0
Copper-Cobalt-Beryllium alloy, UNS C17500, TB00 Temper strip, rod, bar, plate, tubing, forged products;8.75;127.5
Beryllium-Copper Alloy 50C, UNS C81800, As-cast;8.62;110.0
Beryllium Copper Alloy 10C, UNS C82000 As-cast;8.62;115.0
Beryllium-Copper Alloy 30C, UNS C82200, As-Cast;8.75;114.0
Beryllium-Copper Alloy 165C, UNS C82400, As-Cast;8.31;128.0
Beryllium-Copper Alloy 20C, UNS C82500, As Cast;8.26;128.0
Beryllium-Copper Casting Alloy 245C, UNS C82600, As-Cast;8.16;130.0
Ampco Metal AMPCOLOY 83 Beryllium Copper, Extrusion;8.26;131.0
Ampco Metal AMPCOLOY 88 Beryllium Copper, Extrusion;8.75;130.0
Ampco Metal AMPCOLOY 89 Beryllium Copper, Extrusion;8.8;135.0
Materion AlBeMet AM 162 HIP'd Billet, Annealed;2.07;193.0
Materion AlBeCast™ IC910 Aluminum Beryllium Composite;2.17;192.5
Materion Beryllium Nickel Strip - Alloy 360 Annealed;8.28;202.5
Materion Beryllium Nickel M220C;8.03;186.5
Materion Beryllium Copper Alloy 10C Castings (UNS C82000);8.83;138.0
Materion Beryllium Copper Alloy 245C Castings (UNS C82600);8.22;131.0
Materion Alloy 310 Beryllium Copper Strip;8.81;135.0
Materion Alloy M65 (C17465) Beryllium Copper Rod;8.94;138.0
IBC Advanced Alloys Beralcast 191 Beryllium-Aluminum Alloy;2.16;202.0
Bohler-Uddeholm BeCu Alloy 172 Mold Material;8.36;131.0
Cadi 2 MOLD-MOR™;8.77;131.0
Bismuth, Bi;9.8;31.7
Indium Corp. Indalloy 257 Bismuth Solder Alloy;9.69;14.3
Alfa Chemistry Materials Bismuth single crystal disc, 10mm (0.39in) dia, 1-3mm (0.04-0.1in) thick, (100) orientation;9.75;32.0
Cobalt, Co;8.8;211.0
CoCrWNi Alloy, ASTM F90;10.0;227.0
CoCrMoWNi Alloy, ASTM F563;8.8;227.0
Alliance A-5S Alnico Magnetic Material;7.1;150.0
Alliance S-18 Sintered SmCo Magnet;8.4;159.0
Alliance S-22T Sintered SmCo Magnet;8.4;117.0
Alliance S-26H Samarium Cobalt Magnetic Material;8.4;133.5
Alliance BCS-4 Samarium Cobalt Compression Bonded Magnet;6.7;29.0
Alliance BCS-5 Samarium Cobalt Compression Bonded Magnet;6.75;29.0
Alliance BCS-9 Samarium Cobalt Compression Bonded Magnet;6.85;29.0
Alliance BCS-11 Samarium Cobalt Compression Bonded Magnet;6.95;29.0
Carpenter MP35N* Ni-Co-Cr-Mo Alloy, 0% Cold Reduction;8.43;233.0
Carpenter MP35N* Ni-Co-Cr-Mo Alloy, 15% Cold Reduction;8.43;235.0
Carpenter Hiperco Alloy 50 Fe-Co-V Soft Magnetic Alloy, Cold Rolled;8.12;207.0
Elgiloy Co-Cr-Ni Alloy, Strip;8.3;190.0
Elgiloy Co-Cr-Ni Alloy, Wire, 10% Cold Reduction;8.3;186.0
Elgiloy Co-Cr-Ni Alloy, Wire, 20% Cold Reduction;8.3;184.0
Elgiloy Co-Cr-Ni Alloy, Wire, 20% Cold Reduction, Heat Treated;8.3;189.0
Elgiloy Co-Cr-Ni Alloy, Wire, 30% Cold Reduction;8.3;177.0
Elgiloy Co-Cr-Ni Alloy, Wire, 30% Cold Reduction, Heat Treated;8.3;194.0
Elgiloy Co-Cr-Ni Alloy, Wire, 40% Cold Reduction;8.3;172.0
Elgiloy Co-Cr-Ni Alloy, Wire, 47% Cold Reduction (Coil Spring Range);8.3;169.0
Elgiloy Co-Cr-Ni Alloy, Wire, 65% Cold Reduction;8.3;152.0
Goodfellow Cobalt/Boron/Silicon/Iron/Molybdenum/Nickel Alloy;7.8;63.0
Goodfellow Cobalt/Silicon/Boron/Iron/Nickel Alloy;7.59;61.0
Goodfellow Cobalt/Silicon/Boron/Manganese Alloy;7.6;150.0
Goodfellow Havar High-Strength Non-Magnetic Cobalt-Base Alloy;8.3;200.0
Haynes 188 alloy, cold rolled and 1175°C solution annealed sheet;8.98;232.0
Haynes 25 alloy, cold rolled and 1205°C (2200°F) solution annealed sheet;9.13;225.0
Special Metals INCONEL alloy 740 Precipitation-Hardenable Ni-Cr-Co Superalloy;8.05;221.0
Special Metals INCONEL alloy 783 Ni-Co-Fe Alloy;7.81;177.0
Special Metals NIMONIC alloy 91 Ni-Cr-Co Alloy;8.08;222.0
Phynox Cobalt-Chromium-Nickel Alloy;8.3;203.0
Kennametal Stellite Stellite 21;8.31;248.0
Kennametal Stellite Stellite 25 Cobalt Chromium Cast Alloy;8.31;207.0
Kennametal Stellite Stellite 4 Cobalt Chromium Alloy;8.8;235.0
Sandvik Bioline F1537 Cobalt Alloy Bar;8.25;240.0
Kennametal Stellite Stellite STAR with P/M Processing;8.67;258.0
Kennametal Stellite Stellite 250;8.05;217.0
Kennametal Stellite Stellite 6B solution heat-treated at 1232°C, air cooled, 1.0 mm thick sheet;8.39;212.0
Kennametal Stellite Stellite 12;8.52;226.0
Kennametal Stellite Stellite 19;8.36;234.0
Kennametal Stellite Stellite 33;8.77;243.0
Latrobe MP35N Alloy;8.55;234.0
3D Systems LaserForm CoCr (B), AS-BUILT Cobalt-Chrome Alloy;8.3;19.5
3D Systems LaserForm CoCr (B), AFTER SOLUTION ANNEAL Cobalt-Chrome Material;8.3;23.0
3D Systems LaserForm CoCrF75 (A), AFTER ANNEAL Cobalt-Chrome Material;8.35;22.5
Alfa Chemistry Materials Cobalt Nanoparticle Dispersion;8.9;209.0
Morgan Advanced Ceramics Mac-Copper ABA™L-WM Braze Alloy;8.11;96.0
Oxygen-free high conductivity Copper, Hard, UNS C10200;8.9;124.5
Electrolytic Tough Pitch (ETP) Copper, UNS C11000, H00 Temper flat products;8.89;122.5
Oxygen-free electronic Copper, UNS C10100;8.91;115.0
Oxygen-free Electronic Copper (OFE), UNS C10100, H00 Temper, flat products;8.94;115.0
Zirconium Copper (Amzirc Brand Copper), UNS C15000, 5 mm rod;8.89;129.0
Oxygen-free high conductivity Copper, Soft, UNS C10200;8.9;117.0
ZHC Copper, UNS C15100, H01 Temper;8.94;121.0
Copper, UNS C15735;8.8;123.0
Chromium Copper, UNS C18200, TB00 Temper flat products;8.89;130.0
Electrolytic Tough Pitch (ETP) Copper, UNS C11000, OSO25 Temper flat products, tube;8.89;115.0
Copper, UNS C18100, Cold Worked (40% reduction) Strip;8.88;125.0
Copper, UNS C19210, H01 Temper sheet;8.94;125.0
High Strength Modified Copper, UNS C19400, O50 Temper flat products;8.78;121.0
Copper, UNS C19700, H02 Temper;8.83;121.0
High Conductivity Bronze, UNS C40500, OSO35 Temper flat products;8.83;117.5
Copper, UNS C41100;8.8;120.0
Copper, UNS C41500;8.8;117.5
Copper, UNS C41900, O61 Temper strip;8.8;125.0
Copper, UNS C42500;8.78;117.5
Aluminum Bronze, 5%, UNS C60600, O61 Temper;8.17;121.0
Aluminum Bronze, UNS C61300, Annealed;7.89;126.0
Aluminum Bronze, UNS C61300, Cold Finished;7.89;120.5
Copper, UNS C62300 (Aluminum Bronze 9%), Annealed Rod;7.65;117.5
Nickel Aluminum Bronze, UNS C63000, Annealed Rod;7.58;125.0
Copper, UNS C70250, TM00 Temper strip;8.8;131.0
Copper nickel 10%, UNS C70600;8.94;140.0
Cupronickel 75-25, UNS C71300 Copper Coinage Alloy;8.94;152.0
Copper nickel 30%, UNS C71500;8.94;150.0
Copper Nickel, UNS C71640 Copper Alloy;8.86;152.0
Tin-Bearing Copper Nickel, UNS C72500;8.89;137.0
Copper Nickel Tin, UNS C72800;8.97;128.0
Nickel silver 65-10, UNS C74500;8.69;120.0
Nickel silver 65-18, UNS C75200;8.73;125.0
Nickel silver 65-18, UNS C75200, OSO35 Temper flat products;8.73;122.5
Nickel silver 65-15, UNS C75400;8.7;125.0
Nickel silver 65-12, UNS C75700;8.69;125.0
Nickel Silver, CDA 764;8.69;124.0
Copper-Nickel, Chromium Bearing, UNS C72200;8.94;135.0
Beryllium-Copper Casting Alloy 275C, UNS C82800, As-Cast;8.09;133.0
Tombasil, UNS C87500, Copper Casting Alloy;8.28;122.0
Manganese-Aluminum Bronze, UNS C95700, Copper Casting Alloy;7.53;125.0
UNS C96200, Copper Casting Alloy;8.94;124.0
UNS C96400, Copper Casting Alloy;8.94;145.0
