Name;Density (g/cc);E-Modul (GPa);Class
ASTM A897/A897M-06 Grade 1 (130-90-09) Austempered Ductile Iron;7.09;166.5;FerrousMetal
ASTM A897 Grade 2 (150-100-07 or 150-110-7) Austempered Ductile Iron;7.09;164.0;FerrousMetal
ASTM A897 Grade 3 (175-125-04) Austempered Ductile Iron;7.08;162.5;FerrousMetal
ASTM A897 Grade 4 (200-155-01 or 200-155-02) Austempered Ductile Iron;7.07;160.5;FerrousMetal
ASTM A897 Grade 5 (230-185-00 or 230-185-01) Austempered Ductile Iron;7.06;159.0;FerrousMetal
SAE J2477 AD 750 Automotive Austempered Ductile Iron;7.15;148;FerrousMetal
Dura-Bar 60-40-18 Continuously Cast Ductile Iron Bar Stock ASTM A536, 4018;6.92;172;FerrousMetal
Dura-Bar G2 Continuously Cast Gray Iron Bar Stock ASTM A48;7.2;124;FerrousMetal
Dura-Bar G1 Continuously Cast Gray Iron Bar Stock ASTM A48;7.20;138;FerrousMetal
Meehanite AQ Flake Graphite Cast Iron;7.34;152;FerrousMetal
Meehanite GM-60 Flake Graphite Cast Iron;7.34;148;FerrousMetal
Meehanite GA-50 Flake Graphite Cast Iron;7.31;138;FerrousMetal
Meehanite GC-40 Flake Graphite Cast Iron;7.25;114;FerrousMetal
Meehanite GE-30 Flake Graphite Cast Iron;7.06;89.6;FerrousMetal
Meehanite GF-20 Flake Graphite Cast Iron;6.80;62.1;FerrousMetal
Meehanite Ductliron SP-80 Nodular Graphite Ductile Iron;7.20;172;FerrousMetal
Meehanite Ductliron SH-100 Nodular Graphite Ductile Iron;7.22;165;FerrousMetal
Meehanite Ductliron SF-60 Nodular Graphite Ductile Iron;7.18;165;FerrousMetal
Meehanite Almanite W1 Wear and Abrasion Resisting Cast Iron;7.7;179;FerrousMetal
Meehanite Almanite WS Wear and Abrasion Resisting Cast Iron;7.7;165;FerrousMetal
PSM Industries Pacific Sintered Metals F-200-P Iron Powdered Metal (MPIF F-0000-10);6.2;96.5;FerrousMetal
PSM Industries Pacific Sintered Metals F-241-S Iron Powdered Metal (MPIF F-0000-15);7.0;117;FerrousMetal
PSM Industries Pacific Sintered Metals F-241-T Iron Powdered Metal (MPIF F-0000-20);7.4;145;FerrousMetal
Assab Steels ASSAB XW-41 Cold Work Steel;7.67;193;FerrousMetal
Assab Steels VANADIS 4 Cold Work Steel;7.56;200;FerrousMetal
Assab Steels 8407 SUPREME Hot Work Steel;7.78;203;FerrousMetal
X12CrNi177 Austenitic Stainless Steel for medical instruments;8.00;193;FerrousMetal
205 Austenitic Stainless Steel (UNS S20500);7.80;197;FerrousMetal
302 Stainless Steel, annealed strip;7.86;193;FerrousMetal
AISI Type 302B Stainless Steel, annealed sheet;8.00;195;FerrousMetal
303 MA Stainless Steel, in bar, annealed;7.81;190;FerrousMetal
AISI Type 304HN Stainless Steel;8.00;197;FerrousMetal
AISI Type 304L Stainless Steel;8.00;196.5;FerrousMetal
Medical Grade Stainless Steel 316LVM;8.00;188;FerrousMetal
AISI Type 316N Stainless Steel, annealed sheet;7.92;196;FerrousMetal
Type 332 Austenitic Stainless Steel, Hot worked Bar, UNS N08800;8.03;196;FerrousMetal
410 Cb Martensitic Stainless Steel (UNS S41040);7.73;209.5;FerrousMetal
Type 410S Martensitic Stainless Steel, Annealed Forgings, UNS S41008;7.73;200;FerrousMetal
416 Plus X Martensitic Stainless Steel (UNS S41610);7.80;209.5;FerrousMetal
422 Stainless Steel 315°C (600°F) temper;7.80;199;FerrousMetal
439 Ferritic Stainless Steel (UNS S43900);7.70;207.5;FerrousMetal
AISI Type 440B Stainless Steel;7.74;200;FerrousMetal
442 Ferritic Stainless Steel Annealed Plate, Sheet, Strip (UNS S44200);7.80;207.5;FerrousMetal
44 LN Duplex Stainless Steel (UNS S31200);7.80;196.0;FerrousMetal
AISI Type 651 (19-9 DL) Stainless Steel;7.94;200;FerrousMetal
660 Stainless Steel (A286) short time tensile test;7.92;200;FerrousMetal
661 Stainless Steel;8.25;200;FerrousMetal
AISI Type S13800 Stainless Steel (PH 13-8 Mo) longitudinal properties, condition H1150M;7.80;172;FerrousMetal
AISI Type S14800 Stainless Steel condition SRH950;7.70;200;FerrousMetal
17-7 PH Stainless Steel, CH900, plate, sheet, and strip;7.80;204;FerrousMetal
AISI Type S20910 Stainless Steel, annealed at 1120°C, water quenched;7.89;200;FerrousMetal
AISI Type S21800 Stainless Steel;7.61;180;FerrousMetal
AISI Type S24100 Stainless Steel 25 mm annealed bar at RT;7.78;200;FerrousMetal
AISI Type N08366 Stainless Steel sheet thickness of 1.65 mm, annealed;8.11;200;FerrousMetal
AK Steel 400 Ferritic Stainless steel;7.47;200;FerrousMetal
AK Steel 201 Austenitic Stainless steel;7.81;197;FerrousMetal
AK Steel 301 Austenitic Stainless steel;7.88;193;FerrousMetal
AK Steel 304 Austenitic Stainless steel;8.03;193;FerrousMetal
AK Steel 305 Austenitic Stainless steel;7.99;193;FerrousMetal
AK Steel 309 Austenitic Stainless steel;7.99;200;FerrousMetal
AK Steel 309S Austenitic Stainless steel;9.01;200;FerrousMetal
AK Steel 321 Austenitic Stainless steel;9.01;193;FerrousMetal
AK Steel PH 15-7 Mo Precipitation Hardening Stainless Steel, Condition TH 1050;7.68;200;FerrousMetal
AK Steel 17-7 PH Precipitation Hardening Stainless Steel, Condition TH 1050;7.65;200;FerrousMetal
Carpenter Gall-Tough PLUS™ Stainless, Annealed at 1150°C;7.60;185;FerrousMetal
Carpenter Gall-Tough Stainless;7.85;171;FerrousMetal
Carpenter Custom 455 Stainless Steel, Annealed, 25 mm Bar;7.76;200;FerrousMetal
Carpenter 20Cb-3 Stainless Steel, Bar, Annealed at 1750°F (955°C) then Water Quenched;8.08;193;FerrousMetal
Carpenter Custom 630 (17-Cr-4Ni) Precipitation Hardening Stainless Steel, Annealed;7.75;197;FerrousMetal
Carpenter Custom 630 (17-Cr-4Ni) Precipitation Hardening Stainless Steel, Condition H 1150 (Heated 621°C);7.82;197;FerrousMetal
Carpenter Pyrowear 675 Stainless Steel, Tempered 316°C, Longitudinal Properties;7.76;204;FerrousMetal
Carpenter 20-Mo6 Stainless Steel, Plate;8.13;186;FerrousMetal
Carlson 904L Austenitic Stainless Steel;7.97;196;FerrousMetal
Carlson 926 Mo Austenitic Stainless Steel;8.03;192;FerrousMetal
Carlson Nitronic 50 Austenitic Stainless Steel;7.89;193;FerrousMetal
Carlson Nitronic 60 Austenitic Stainless Steel;7.62;181;FerrousMetal
Carlson 2205 (UNS S31803) Duplex Stainless Steel;7.82;190;FerrousMetal
Crucible Steel CSM 420 XL Stainless Steel;7.64;200;FerrousMetal
Crucible Steel 303 Plus Chromium-Nickel Steel;7.92;193;FerrousMetal
Crucible Steel 304L Chromium-Nickel Steel;7.94;193;FerrousMetal
Crucible Steel 316L Chromium-Nickel Steel;7.91;193;FerrousMetal
Crucible Steel 347 Chromium-Nickel Steel;8.02;193;FerrousMetal
Crucible Steel 20 Cb Plus Stainless Steel;8.05;193;FerrousMetal
Crucible Steel 430 Chromium Steel;7.72;200;FerrousMetal
Crucible Steel 431 Chromium Steel;7.77;200;FerrousMetal
Crucible Steel 15-5 Precipitation Hardening Stainless Steel;7.8;197;FerrousMetal
Datum Alloys 304TA Stainless Steel Thin Foil;7.93;197;FerrousMetal
EOS PH1 Precipitation Hardening Stainless Steel Sintered on EOSINT M 270;7.80;180.0;FerrousMetal
Special Metals INCOLOY 25-6MO Super Austenitic Stainless Steel (UNS N08926);8.03;188;FerrousMetal
Special Metals INCOLOY 27-7MO Super-Austenitic Stainless Steel;8.02;191;FerrousMetal
Industeel CLC 18.10 Nb Niobium Stabilized 18Cr-10Ni Austenitic Stainless Steel;7.95;200;FerrousMetal
Industeel URANUS 47N+ 25 Cr Super Duplex Stainless Steel with PREN = 40;7.82;200;FerrousMetal
Industeel VIRGO 15.5PH 15Cr-5Ni-3Cu Precipitation Hardening Martensitic Stainless Steel (480°C (900°F) - 1 hour - air cooling);7.80;137.0;FerrousMetal
Industeel URANUS 65 310 L Modified Grade - Low C and Si for Nitric Acid Service;7.90;195;FerrousMetal
Industeel URANUS B6 Multipurpose Austenitic Stainless Steel with PREN = 34;8.05;200;FerrousMetal
Industeel URANUS B26 6 Mo High Performance Super-Austenitic Stainless Steel with PREN = 43;8.10;195;FerrousMetal
Industeel URANUS B66 High Strength Super-Austenitic Stainless Steel with PREN = 54;8.20;195;FerrousMetal
ATI Allegheny Ludlum Stainless Steel Type 201, 40% Cold Work (UNS S20100);7.86;183;FerrousMetal
ATI Allegheny Ludlum Stainless Steel Type 301, 1/4 Hard (UNS S30100);8.03;195.0;FerrousMetal
ATI Allegheny Ludlum Stainless Steel Type 301, 1/2 Hard (UNS S30100);8.03;185.5;FerrousMetal
ATI Allegheny Ludlum Stainless Steel Type 301, 3/4 Hard (UNS S30100);8.03;184.0;FerrousMetal
ATI Allegheny Ludlum Stainless Steel Type 301, Full Hard (UNS S30100);8.03;185.0;FerrousMetal
ATI Allegheny Ludlum Stainless Steel Type 347 (UNS S34700);7.96;193;FerrousMetal
ATI Allegheny Ludlum Stainless Steel AL 904L™ Alloy (UNS N08904);7.90;190;FerrousMetal
ATI Allegheny Ludlum Altemp A286 Iron-Base Superalloy, UNS S66286;7.92;201;FerrousMetal
Markforged 3D Printed 17-4 PH Stainless Steel, H900 Heat Treatment;7.50;170;FerrousMetal
Markforged 3D Printed 17-4 PH Stainless Steel, As-Sintered;7.50;140;FerrousMetal
HP Alloys Nitronic 60 Austenitic Stainless, Annealed;7.62;179;FerrousMetal
Outokumpu 4948 High Temperature Austenitic Stainless Steel;7.93;196;FerrousMetal
Outokumpu 4878 High Temperature Austenitic Stainless Steel;7.90;196;FerrousMetal
Outokumpu 4833 High Temperature Austenitic Stainless Steel;7.80;196;FerrousMetal
PSM Industries Pacific Sintered Metals SS-316-RH 316L Stainless Steel Powdered Metal;6.6;79.3;FerrousMetal
PSM Industries Pacific Sintered Metals SS-316-RD 316L Stainless Steel Powdered Metal (MPIF SS-316-40);6.6;148;FerrousMetal
PSM Industries Pacific Sintered Metals SS-316-SH 316L Stainless Steel Powdered Metal;6.80;95.1;FerrousMetal
PSM Industries PolyAlloys MIM-17-4PH sintered Stainless Steel;7.50;193;FerrousMetal
Pyramid Stainless Steel AISI 304/316L, STAINLESS STEEL SHEET NO.4 FINISH;7.94;201;FerrousMetal
Sandvik SRK66 Precision Wire;8.00;185;FerrousMetal
Sandvik Bioline 1RK91 Precision Wire;7.90;187.5;FerrousMetal
Sandvik Nanoflex Precision Wire;7.90;185.0;FerrousMetal
Sandvik SanRig 80 Precision Wire;7.87;195;FerrousMetal
Sandvik 9RU10 Spring Wire;7.90;192.5;FerrousMetal
Sandvik SAF 2205 Spring Wire;7.85;202.5;FerrousMetal
Sandvik 5R60 Wire;8.00;180;FerrousMetal
Sandvik Bioline 1RK91 Strip steel;7.70;192.5;FerrousMetal
Sandvik Bioline SAF 2205 Wire;7.80;202.5;FerrousMetal
Sandvik Bioline SAF 2205 SH Wire;7.80;204.0;FerrousMetal
Sandvik SAF 2507 Strip steel;7.80;195.0;FerrousMetal
Sandvik Springflex Strip steel;7.80;205.0;FerrousMetal
Schmolz + Bickenbach UGIMA 303 HD Stainless Steel Bar;7.89;197;FerrousMetal
Schmolz + Bickenbach 416 Stainless Steel Bar;7.64;205;FerrousMetal
Schmolz + Bickenbach 430FR Stainless Steel Bar;7.61;205;FerrousMetal
Latrobe 440™ N-DUR High Quality Martensitic Stainless Steel;7.67;200.0;FerrousMetal
Latrobe Lescalloy 13-8 Mo VIM-VAR Precipitation Hardening Stainless Steel;7.72;195;FerrousMetal
Latrobe LSS™ 17-4 Precipitation Hardening Stainless Steel (ASTM Type 360);7.8;197;FerrousMetal
Latrobe LSS™ 440C Stainless Steel Knife (ASTM A276);7.62;200;FerrousMetal
American Utility Metals Cromgard Stainless Steel;7.66;200;FerrousMetal
3D Systems LaserForm 316L (B), AS BUILT Stainless Steel Material;7.95;17.25;FerrousMetal
3D Systems LaserForm 316L (B), AFTER STRESS RELIEF Stainless Steel Material;7.95;18.0;FerrousMetal
3D Systems LaserForm AlSi12 (B), AS-BUILT Aluminum Alloy Material;2.68;6.75;FerrousMetal
3D Systems LaserForm AlSi12 (B), STRESS RELIEF Aluminum Alloy Material;2.68;6.5;FerrousMetal
TBA ECP 16E Stainless Steel Fiber Masterbatch;1.35;0.236;FerrousMetal
3D Systems LaserForm™ A6 Tool Steel Powder for Rapid Tooling and Rapid Manufacturing;7.80;138;FerrousMetal
Assab Steels ASSAB XW-5 Cold Work Steel;7.67;194;FerrousMetal
Carpenter Micro-Melt 9 Wear Treated Tool Steel;7.45;200;FerrousMetal
Carpenter Vega Alloy Tool Steel (Air-Tough) (AISI A6);7.94;200;FerrousMetal
International Mold Steel DC53 General-Purpose Cold Work Die and Mold Steel;7.76;150;FerrousMetal
3D Systems LaserForm 316L (A) AFTER STRESS RELIEF Stainless Steel Material;8.00;18.0;FerrousMetal
3D Systems LaserForm Maraging Steel (B), AS BUILT;8.06;15.25;FerrousMetal
3D Systems LaserForm Maraging Steel (B), AFTER STRESS RELIEF;8.06;15.75;FerrousMetal
3D Systems LaserForm Maraging Steel (B), AFTER AGING;8.06;17.5;FerrousMetal
3D Systems LaserForm Ni625 (B), AS-BUILT Nickel Super Alloy;8.44;19.5;FerrousMetal
3D Systems LaserForm Ni625 (B), AFTER STRESS RELIEF Nickel Super Alloy;8.44;20.25;FerrousMetal
3D Systems LaserForm Ni625 (B), AFTER LOW SOLUTION ANNEAL Nickel Super Alloy;8.44;13.05;FerrousMetal
Aluminum, Al;2.70;68.0;NonferrousMetal
Aluminum Alloys, General;2.70;70.0;NonferrousMetal
Aluminum 1050-H14;2.70;69.0;NonferrousMetal
Aluminum 1060-H12;2.70;68.9;NonferrousMetal
Aluminum 1100-H112;2.71;69.0;NonferrousMetal
Aluminum 1100-H12;2.71;68.9;NonferrousMetal
Aluminum 1180-H18;2.70;67.0;NonferrousMetal
Aluminum 1199-H18;2.70;62.0;NonferrousMetal
Aluminum 2007-T3;2.82;73.0;NonferrousMetal
Aluminum 2011-T3;2.83;70.3;NonferrousMetal
Aluminum 2011-T4;2.82;70.0;NonferrousMetal
Aluminum 2011-T6;2.83;70.0;NonferrousMetal
Alclad Aluminum 2014-O;2.80;72.4;NonferrousMetal
Aluminum 2014-O;2.80;72.75;NonferrousMetal
Aluminum 2017-O;2.79;72.4;NonferrousMetal
Aluminum 2018-T61;2.82;74.5;NonferrousMetal
Alclad Aluminum 2024-O;2.78;73.1;NonferrousMetal
Alclad Aluminum 2024-T42;2.77;72.4;NonferrousMetal
Aluminum 2024-T6;2.78;72.4;NonferrousMetal
Aluminum 2025-T6;2.81;71.7;NonferrousMetal
Aluminum 2030-T3;2.81;73.0;NonferrousMetal
Aluminum 2036-T4;2.75;71.0;NonferrousMetal
Aluminum 2048-T851 Plate;2.75;73.5;NonferrousMetal
Aluminum 2090-O;2.59;76.0;NonferrousMetal
Aluminum 2091-T8x;2.58;75.0;NonferrousMetal
Aluminum 2124-O;2.78;73.0;NonferrousMetal
Aluminum 2124-T851 (Extended High Temperature Data);2.78;72.55;NonferrousMetal
Aluminum 2218-T61;2.81;74.4;NonferrousMetal
Aluminum 2218-T72;2.81;74.5;NonferrousMetal
Alclad Aluminum 2219-O;2.84;73.8;NonferrousMetal
Aluminum 2219-O;2.84;73.1;NonferrousMetal
Aluminum 2319;2.84;72.0;NonferrousMetal
Aluminum 2618-T61;2.76;74.5;NonferrousMetal
Alclad Aluminum 3003-H112;2.73;70.0;NonferrousMetal
Alclad Aluminum 3003-H12;2.73;68.9;NonferrousMetal
Aluminum 3003-H19 Foil;2.73;69.0;NonferrousMetal
Alclad Aluminum 3004-H112;2.72;70.0;NonferrousMetal
Alclad Aluminum 3004-H32;2.72;68.9;NonferrousMetal
Aluminum 3004-H19;2.72;69.0;NonferrousMetal
3013-O Aluminum;2.74;68.9;NonferrousMetal
Aluminum 3102-H112;2.71;71.0;NonferrousMetal
Aluminum 4019, AE Condition;2.74;90.0;NonferrousMetal
Aluminum 4032-T6;2.68;78.6;NonferrousMetal
Aluminum 5024-H116;2.65;72.0;NonferrousMetal
Aluminum 5042-H19;2.67;70.0;NonferrousMetal
Aluminum 5050-H32;2.69;68.9;NonferrousMetal
Aluminum 5052-H19 Foil;2.68;70.0;NonferrousMetal
Aluminum 5052-H32;2.68;70.3;NonferrousMetal
Aluminum 5056-H18;2.64;71.0;NonferrousMetal
Aluminum 5056-H191 Foil;2.64;72.0;NonferrousMetal
Aluminum 5082-H19;2.65;70.0;NonferrousMetal
Aluminum 5083-H112;2.66;70.3;NonferrousMetal
Aluminum 5083-O;2.66;70.65;NonferrousMetal
Aluminum 5086-H112;2.66;71.0;NonferrousMetal
Aluminum 5182-H19;2.65;69.6;NonferrousMetal
Aluminum 5252-H28;2.67;68.9;NonferrousMetal
Aluminum 5252-O;2.67;69.0;NonferrousMetal
Aluminum 5356;2.64;70.0;NonferrousMetal
Aluminum 5454-H112;2.69;70.3;NonferrousMetal
Aluminum 5652-H32;2.67;70.3;NonferrousMetal
Aluminum 5657-O;2.69;69.0;NonferrousMetal
Aluminum 7001-O;2.84;71.0;NonferrousMetal
Aluminum 7005-O;2.78;72.0;NonferrousMetal
Aluminum 7016-T5;2.78;71.0;NonferrousMetal
Aluminum 7029-T5;2.77;72.0;NonferrousMetal
Aluminum 7034-T6;2.89;71.0;NonferrousMetal
Aluminum 7039-O;2.74;69.6;NonferrousMetal
Aluminum 7049-T352;2.84;71.7;NonferrousMetal
Aluminum 7050-T73652 forgings;2.83;71.7;NonferrousMetal
Aluminum 7072-H113;2.72;68.0;NonferrousMetal
Aluminum 7076-T61;2.84;67.0;NonferrousMetal
Aluminum 7175-T66;2.80;72.0;NonferrousMetal
Aluminum 7175-T74;2.80;71.7;NonferrousMetal
Alclad Aluminum 7475-T61;2.81;70.3;NonferrousMetal
Aluminum 8001-H18;2.75;70.0;NonferrousMetal
Aluminum 8009, AE Condition;2.92;90.0;NonferrousMetal
Aluminum 8090-T3;2.54;77.0;NonferrousMetal
1201 Alloy 20 mm plate;2.85;72.0;NonferrousMetal
1460 Alloy, 20 mm plate;2.59;80.0;NonferrousMetal
Aluminum-Scandium Alloy 01570;2.65;71.0;NonferrousMetal
Aluminum 201.0-T4, Sand Cast;2.80;71.0;NonferrousMetal
Aluminum A206.0-T7 Casting Alloy;2.80;70.0;NonferrousMetal
Aluminum 208.0-F, Sand Cast;2.79;71.0;NonferrousMetal
Aluminum 222.0-O, Sand Cast;2.95;71.0;NonferrousMetal
Aluminum 242.0-O, Sand Cast;2.82;71.0;NonferrousMetal
Aluminum 242.0-T571, Permanent Mold Cast;2.81;71.0;NonferrousMetal
Aluminum 295.0-T4, Sand Cast;2.81;70.0;NonferrousMetal
Aluminum 296.0-T4, Cast;2.80;69.0;NonferrousMetal
Aluminum 319.0-F, Permanent Mold Cast;2.79;74.0;NonferrousMetal
Aluminum 328.0-F, Sand Cast;2.70;73.0;NonferrousMetal
Aluminum 332.0-T5, Permanent Mold Cast;2.76;73.0;NonferrousMetal
Aluminum 333.0-F, Permanent Mold Cast;2.77;73.0;NonferrousMetal
Aluminum 336.0-T551, Permanent Mold Cast;2.72;73.0;NonferrousMetal
Aluminum 354.0-T61, Permanent Mold Cast;2.71;73.1;NonferrousMetal
Aluminum 355.0-T71, Permanent Mold Cast;2.71;70.3;NonferrousMetal
Aluminum C355.0-T61, Permanent Mold Cast;2.71;69.6;NonferrousMetal
Aluminum 356.0-T71, Permanent Mold Cast;2.68;72.4;NonferrousMetal
Aluminum A356.0-T61, Permanent Mold Cast;2.67;72.4;NonferrousMetal
Aluminum A360.0-F Die Casting Alloy;2.68;71.0;NonferrousMetal
Aluminum A380.0-F Die Casting Alloy;2.76;71.0;NonferrousMetal
Aluminum A380.0-T5, Casting Alloy;2.74;71.0;NonferrousMetal
Aluminum A390.0-T6, Permanent Mold Cast;2.72;81.2;NonferrousMetal
Aluminum B390.0-F Die Casting Alloy;2.71;81.4;NonferrousMetal
Aluminum A443.0;2.69;71.0;NonferrousMetal
Aluminum 518.0-F Die Casting Alloy;2.57;69.0;NonferrousMetal
Aluminum 520.0-T4, Sand Cast;2.57;66.0;NonferrousMetal
Aluminum A535.0-F or Aluminum 535.0-T5, Cast;2.62;71.0;NonferrousMetal
Aluminum 707.0-F Casting Alloy;2.77;71.0;NonferrousMetal
Aluminum 850.0-T5, Permanent Mold Cast;2.88;71.0;NonferrousMetal
Aluminum 851.0-T5, Permanent Mold Cast;2.83;71.0;NonferrousMetal
A13 Aluminum-28 v/o Thornel-50 Composite;2.40;145;NonferrousMetal
ERG Aerospace Duocel Aluminum Metal Foam;0.2;0.07;NonferrousMetal
Alcoa Deltalloy 4032-T651 Aluminum;2.68;79.0;NonferrousMetal
Alcoa 2090-T83 Aluminum;2.59;79.3;NonferrousMetal
Alcoa QC-10 Aluminum Mold Alloy;2.85;70.0;NonferrousMetal
ALIMEX ACP 5080R Aluminum Cast Material;2.66;70.0;NonferrousMetal
ALIMEX PLANAL 7075 T651/T652 Aluminum Alloy;2.77;70.0;NonferrousMetal
Alpase M-1™ Aluminum Mold Plate;2.80;74.5;NonferrousMetal
Alpase M-5™ Aluminum Mold Plate;2.73;72.75;NonferrousMetal
Materion AMC225XE T4 Aluminum/Silicon Carbide MMC Forged Plate;2.88;115;NonferrousMetal
Materion SupremEX 217XG Aluminum - Silicon Carbide Metal Matrix Composite, T6 CWQ Billet;2.86;98.0;NonferrousMetal
Materion SupremEX 640XA Aluminum - Silicon Carbide Metal Matrix Composite, T6 CWQ Billet;2.90;140;NonferrousMetal
Materion AMC4632 Aluminum Silicon Alloy, T6;2.70;94.0;NonferrousMetal
CMT CFR-AMC Fully Reinforced Aluminum Matrix Composite;3.40;185.0;NonferrousMetal
Constellium ALPLAN 7075 High-Strength Rolled Precision Aluminum Plate, Milled Both Sides;2.81;72.0;NonferrousMetal
Constellium Alumold 350 Aluminum;2.84;72.4;NonferrousMetal
Constellium Alumold 400 Aluminum;2.79;72.5;NonferrousMetal
Constellium Alumold 500 Rolled Aluminum;2.82;72.5;NonferrousMetal
Constellium Certal Thick Aluminum Plate;2.76;72.0;NonferrousMetal
Constellium Certal SPC Aluminum;2.76;72.5;NonferrousMetal
Constellium DOKIMA Rolled Plate Aluminum;2.69;68.3;NonferrousMetal
Constellium Formall 545 Aluminum Alloy;2.70;71.0;NonferrousMetal
Constellium Fortal Aluminum Alloy;2.81;72.5;NonferrousMetal
Cymat A35620SC 020SS Stabilized Aluminum Foam;0.200;0.46;NonferrousMetal
Cymat A35620SC 030SS Stabilized Aluminum Foam;0.300;1.1;NonferrousMetal
Cymat A35620SC 040SS Stabilized Aluminum Foam;0.400;1.35;NonferrousMetal
DWA 6092/SiC/17.5p-T6 Aluminum SiC Metal-Matrix-Composite (Al MMC), Extruded;2.80;102.5;NonferrousMetal
DWA 6092/SiC/17.5p-T6 Aluminum SiC Metal-Matrix-Composite (Al MMC), Sheet;2.80;100.0;NonferrousMetal
DWA 6092/SiC/25p-T6 Aluminum SiC Metal-Matrix-Composite (Al MMC), Extruded;2.84;118.5;NonferrousMetal
DWA 6092/SiC/40p-T6 Aluminum SiC Metal-Matrix-Composite (Al MMC);2.92;138;NonferrousMetal
DWA 2009/SiC/15p-T4 Aluminum SiC Metal-Matrix-Composite (Al MMC);2.84;96.0;NonferrousMetal
DWA 2009/SiC/25p-T4 Aluminum SiC Metal-Matrix-Composite (Al MMC);2.89;117;NonferrousMetal
Goodfellow Aluminum-Copper/SiC Metal Matrix Composite;2.85;100;NonferrousMetal
Goodfellow Aluminum-Lithium/SiC Metal Matrix Composite;2.62;100;NonferrousMetal
Goodfellow Dural Aluminum /Copper/Magnesium Alloy;2.80;73.0;NonferrousMetal
Kaiser 4026 T651 Rod & Bar;2.76;77.0;NonferrousMetal
Erbslöh Aluminium DISPAL S220 Aluminum Alloy, AlSi35, Condition O;2.54;80.0;NonferrousMetal
Erbslöh Aluminium DISPAL S220 Aluminum Alloy, AlSi35, Condition F;2.54;85.0;NonferrousMetal
Erbslöh Aluminium DISPAL S225 Aluminum Alloy, AlSi35Fe2Ni, Condition F;2.58;86.0;NonferrousMetal
Erbslöh Aluminium DISPAL S226 Aluminum Alloy, AlSi30CuMg, Condition T6;2.59;88.0;NonferrousMetal
Erbslöh Aluminium DISPAL S232 Aluminum Alloy, AlSi17Fe4Cu3Mg, Condition T6x;2.79;88.0;NonferrousMetal
Erbslöh Aluminium DISPAL S236 Aluminum Alloy, Condition F;2.83;100;NonferrousMetal
Erbslöh Aluminium DISPAL S236 Aluminum Alloy, Condition T6(SB);2.83;105;NonferrousMetal
Erbslöh Aluminium DISPAL S236 Aluminum Alloy, Condition T6x;2.83;103;NonferrousMetal
Erbslöh Aluminium DISPAL S250 Aluminum Alloy, AlSi20Fe5Ni2, Condition F;2.78;95.0;NonferrousMetal
Erbslöh Aluminium DISPAL S256 Aluminum Alloy, Condition F;2.79;107;NonferrousMetal
Erbslöh Aluminium DISPAL S260 Aluminum Alloy, AlSi25Cu4Mg, Condition F;2.66;85.0;NonferrousMetal
Erbslöh Aluminium DISPAL S260 Aluminum Alloy, AlSi25Cu4Mg, Condition T6;2.66;95.0;NonferrousMetal
Erbslöh Aluminium DISPAL S260 Aluminum Alloy, AlSi25Cu4Mg, Condition T7;2.66;92.0;NonferrousMetal
Erbslöh Aluminium DISPAL S263 Aluminum Alloy, AlSi25Cu3Fe3Ni3MgCoTi, Condition F;2.76;92.0;NonferrousMetal
Erbslöh Aluminium DISPAL S263 Aluminum Alloy, AlSi25Cu3Fe3Ni3MgCoTi, Condition T4;2.76;96.0;NonferrousMetal
Erbslöh Aluminium DISPAL S270 Aluminum Alloy, AlSi25Fe4Ni3CuMgMnCrTi, Condition F;2.79;90.0;NonferrousMetal
Erbslöh Aluminium DISPAL S270 Aluminum Alloy, AlSi25Fe4Ni3CuMgMnCrTi, Condition T4;2.79;97.0;NonferrousMetal
Erbslöh Aluminium DISPAL S270 Aluminum Alloy, AlSi25Fe4Ni3CuMgMnCrTi, Condition T6;2.79;99.5;NonferrousMetal
Erbslöh Aluminium DISPAL S541 Aluminum Alloy, AlMg6Mn4SiTiZr, Condition F;2.72;77.0;NonferrousMetal
Erbslöh Aluminium DISPAL S542 Aluminum Alloy, AlMg6Mn4SiTiZrCo, Condition F;2.73;77.0;NonferrousMetal
Erbslöh Aluminium DISPAL S690 Aluminum Alloy, AlCu4MgAg, Condition T4;2.8;70.0;NonferrousMetal
Erbslöh Aluminium DISPAL S690 Aluminum Alloy, AlCu4MgAg, Condition T6;2.8;72.0;NonferrousMetal
Erbslöh Aluminium DISPAL S691 Aluminum Alloy, AlCu5Ti;2.80;75.0;NonferrousMetal
Erbslöh Aluminium DISPAL S693 Aluminum Alloy, AlCu5Ti, Condition T4;2.82;72.0;NonferrousMetal
RSP Technology RSA-443 AE Aluminum Super Alloy;2.54;102;NonferrousMetal
RSP Technology RSA-905 AE Aluminum Super Alloy;2.95;90.0;NonferrousMetal
RSP Technology RSA-8009 AE Aluminum Super Alloy;2.94;90.0;NonferrousMetal
RSP Technology RSA-4019 AE Aluminum Super Alloy;2.75;90.0;NonferrousMetal
RSP Technology RSA-461 T6 Aluminum Super Alloy;2.76;90.0;NonferrousMetal
RSP Technology RSA-462 T6 Aluminum Super Alloy;2.63;90.0;NonferrousMetal
RSP Technology RSA-431 T6 Aluminum Super Alloy;2.60;95.0;NonferrousMetal
RSP Technology RSA-612 T6 Aluminum Super Alloy;2.55;85.0;NonferrousMetal
RSP Technology RSA-473 AH Aluminum Super Alloy;2.43;125;NonferrousMetal
